customerID,churn_probability,churn_predicted,risk_tier,segment_label,discounted_lifetime_value,actual_churn
ID-000354,0.8044,1,Critical,Low Engagement Churn Risk,2796.77,1
ID-000409,0.7892,1,Critical,High Value Loyalists,2287.0,1
ID-006990,0.7817,1,Critical,Low Engagement Churn Risk,984.38,1
ID-001482,0.7795,1,Critical,Low Engagement Churn Risk,2956.11,0
ID-004375,0.7776,1,Critical,Low Engagement Churn Risk,3715.57,0
ID-003306,0.7706,1,Critical,Low Engagement Churn Risk,1523.2,0
ID-000344,0.7694,1,Critical,Low Engagement Churn Risk,1548.48,1
ID-005188,0.7687,1,Critical,Low Engagement Churn Risk,2353.92,0
ID-002079,0.7687,1,Critical,Low Engagement Churn Risk,725.32,0
ID-002299,0.7597,1,Critical,Low Engagement Churn Risk,2102.4,0
ID-001807,0.7589,1,Critical,Low Engagement Churn Risk,700.04,1
ID-003432,0.7584,1,Critical,Low Engagement Churn Risk,2089.6,1
ID-004067,0.7571,1,Critical,Low Engagement Churn Risk,1044.14,0
ID-000562,0.7568,1,Critical,Low Engagement Churn Risk,1444.07,0
ID-002415,0.7558,1,Critical,Low Engagement Churn Risk,1052.02,1
ID-001166,0.7556,1,Critical,Low Engagement Churn Risk,1731.7,0
ID-004049,0.7543,1,Critical,Low Engagement Churn Risk,635.02,0
ID-004649,0.7535,1,Critical,Low Engagement Churn Risk,3603.94,1
ID-003661,0.7514,1,Critical,Low Engagement Churn Risk,2217.65,1
ID-001128,0.7513,1,Critical,Low Engagement Churn Risk,3794.38,1
ID-000868,0.7466,1,Critical,Low Engagement Churn Risk,865.52,0
ID-001485,0.7453,1,Critical,High Value Loyalists,2613.01,1
ID-006076,0.7425,1,Critical,Low Engagement Churn Risk,1081.9,1
ID-004410,0.74,1,Critical,Low Engagement Churn Risk,1738.92,1
ID-003128,0.7379,1,Critical,Low Engagement Churn Risk,4541.26,0
ID-004220,0.731,1,Critical,High Value Loyalists,4174.17,1
ID-004938,0.7309,1,Critical,High Value Loyalists,4374.69,1
ID-005558,0.7307,1,Critical,Low Engagement Churn Risk,3938.2,1
ID-004139,0.7296,1,Critical,Low Engagement Churn Risk,3015.14,0
ID-002701,0.7286,1,Critical,High Value Loyalists,2004.73,1
ID-001232,0.7216,1,Critical,Low Engagement Churn Risk,2139.66,1
ID-005984,0.7215,1,Critical,Low Engagement Churn Risk,1269.47,1
ID-005943,0.7209,1,Critical,High Value Loyalists,1324.51,1
