customerID,gender,SeniorCitizen,Partner,Dependent,tenure_normalized,PhoneService,MultipleLines_No,MultipleLines_Yes,MultipleLines_NoPhoneService,InternetService_encoded,OnlineSecurity_No,OnlineSecurity_Yes,OnlineSecurity_NoInternet,OnlineBackup_No,OnlineBackup_Yes,OnlineBackup_NoInternet,DeviceProtection_No,DeviceProtection_Yes,DeviceProtection_NoInternet,TechSupport_No,TechSupport_Yes,TechSupport_NoInternet,StreamingTV_No,StreamingTV_Yes,StreamingTV_NoInternet,StreamingMovies_No,StreamingMovies_Yes,StreamingMovies_NoInternet,Contract_encoded,PaperlessBilling,PaymentMethod_encoded,MonthlyCharges_normalized,TotalCharges_normalized,Churn_encoded,is_new_customer_0_6m,is_established_customer_24m,is_long_tenure_48m,is_month_to_month,is_auto_pay,is_electronic_check,has_internet,security_bundle,addon_count,internet_addon_adoption_rate,charges_per_tenure_month,high_monthly_charge,high_total_value,churn_risk_proxy,tenure_x_monthlycharges,mtm_x_echeck,new_x_fiber,recency_proxy,frequency_proxy,monetary_proxy,service_depth_proxy,commitment_proxy,risk_proxy_bucket,segment_id,segment_label,monthly_value_proxy,total_value_proxy,projected_remaining_months,expected_lifetime_months,discounted_lifetime_value,retention_leverage_score
ID-000001,1,0,1,1,0.1944,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0.025,0.0338,1,0,0,0,0,0,0,1,1,2,0.3333,20.5,0,0,0.0,0.0049,0,0,0.8056,4,0.0285,4,1,Moderate Risk,1,At-Risk New Customers,20.5,287.29999999999995,65.0,79.0,1115.96,577.98
ID-000002,0,1,1,1,0.9583,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0.4196,0.4872,0,0,1,1,0,1,0,1,1,1,0.1667,59.95,0,1,-0.5,0.4021,0,0,0.0417,3,0.4466,3,3,Low Risk,0,Stable Value Seekers,59.959999999999994,4141.2,27.0,96.0,3689.2,1882.6
ID-000003,1,1,1,0,0.0694,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0.7299,0.0536,0,1,0,0,0,0,1,1,1,2,0.3333,90.97,1,0,0.5,0.0507,0,0,0.9306,4,0.4594,4,2,Moderate Risk,1,At-Risk New Customers,90.99,455.6,69.0,74.0,4741.75,2375.88
ID-000004,0,0,0,0,0.6389,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0.1627,0.1857,0,0,1,0,0,0,0,0,1,3,0.0,34.27,0,0,-0.8,0.1039,0,0,0.3611,4,0.1719,4,1,Low Risk,1,At-Risk New Customers,34.269999999999996,1578.45,41.0,87.0,1985.04,1012.52
ID-000005,0,1,1,0,0.5556,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0.4013,0.2738,0,0,1,0,1,0,0,0,0,0,0.0,58.12,0,0,2.0,0.223,0,0,0.4444,0,0.3503,0,0,High Risk,2,High Value Loyalists,58.129999999999995,2327.2999999999997,39.0,79.0,3164.43,1582.22
ID-000006,1,0,1,0,0.75,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,2,0.8981,0.6854,0,0,1,1,0,1,0,1,1,1,0.1667,107.78,1,1,-0.5,0.6736,0,0,0.25,3,0.813,3,3,Low Risk,0,Stable Value Seekers,107.81,5825.9,42.0,96.0,6633.3,3354.65
ID-000007,1,0,0,1,0.4444,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.9714,0.4338,1,0,1,0,1,0,1,0,0,0,0.0,115.11,1,1,3.0,0.4317,1,0,0.5556,0,0.7564,0,0,Critical Risk,2,High Value Loyalists,115.14,3687.3,37.0,69.0,5719.03,2844.52
ID-000008,0,0,1,1,0.3472,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0.1528,0.098,0,0,1,0,1,0,1,0,1,2,0.0,33.28,0,0,2.2,0.0531,1,0,0.6528,3,0.1309,3,0,High Risk,3,Low Engagement Churn Risk,33.28,833.0,38.0,63.0,1549.98,779.99
ID-000009,1,1,1,0,0.1111,0,0,0,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0.9783,0.1091,0,0,0,0,0,0,0,1,0,0,0.0,115.8,1,0,-0.4,0.1087,0,0,0.8889,1,0.6306,1,2,Moderate Risk,2,High Value Loyalists,115.83,927.35,72.0,80.0,6357.7,3178.85
ID-000010,1,0,1,1,0.7917,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0.121,0.2021,0,0,1,1,1,0,1,1,1,3,0.5,30.1,0,0,2.2,0.0958,1,0,0.2083,5,0.1534,5,1,High Risk,3,Low Engagement Churn Risk,30.1,1717.85,6.0,63.0,1401.87,713.94
