customerID,gender,SeniorCitizen,Partner,Dependent,tenure_normalized,PhoneService,MultipleLines_No,MultipleLines_Yes,MultipleLines_NoPhoneService,InternetService_encoded,OnlineSecurity_No,OnlineSecurity_Yes,OnlineSecurity_NoInternet,OnlineBackup_No,OnlineBackup_Yes,OnlineBackup_NoInternet,DeviceProtection_No,DeviceProtection_Yes,DeviceProtection_NoInternet,TechSupport_No,TechSupport_Yes,TechSupport_NoInternet,StreamingTV_No,StreamingTV_Yes,StreamingTV_NoInternet,StreamingMovies_No,StreamingMovies_Yes,StreamingMovies_NoInternet,Contract_encoded,PaperlessBilling,PaymentMethod_encoded,MonthlyCharges_normalized,TotalCharges_normalized,Churn_encoded
ID-000001,1,0,1,1,0.1944,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0.025,0.0338,1
ID-000002,0,1,1,1,0.9583,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0.4196,0.4872,0
ID-000003,1,1,1,0,0.0694,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0.7299,0.0536,0
ID-000004,0,0,0,0,0.6389,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0.1627,0.1857,0
ID-000005,0,1,1,0,0.5556,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0.4013,0.2738,0
ID-000006,1,0,1,0,0.75,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,2,0.8981,0.6854,0
ID-000007,1,0,0,1,0.4444,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.9714,0.4338,1
ID-000008,0,0,1,1,0.3472,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0.1528,0.098,0
ID-000009,1,1,1,0,0.1111,0,0,0,1,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0.9783,0.1091,0
ID-000010,1,0,1,1,0.7917,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0.121,0.2021,0
ID-000011,0,0,0,0,0.8611,1,0,0,1,2,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,3,0.2143,0.2878,0
ID-000012,1,0,1,0,0.7083,1,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.7284,0.5455,1
ID-000013,0,1,0,0,0.4167,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,3,0.1663,0.1224,0
ID-000014,1,0,1,1,0.9583,1,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0.061,0.1958,1
ID-000015,0,0,0,0,0.0694,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0.6196,0.0471,1
ID-000016,0,1,1,0,0.125,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,1,2,0.5378,0.0761,0
ID-000017,1,1,1,0,0.9722,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0.1554,0.2765,0
ID-000018,1,0,0,1,0.4583,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,3,0.1616,0.1328,0
ID-000019,0,0,1,1,0.4306,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,3,0.6671,0.3092,0
ID-000020,1,1,1,1,0.2778,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0.7876,0.2279,0
ID-000021,0,1,0,0,0.6111,1,1,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,2,0.6417,0.4257,0
ID-000022,0,1,0,0,0.7639,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0.0017,0.1177,0
ID-000023,0,0,0,0,0.3333,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0.4205,0.1697,0
ID-000024,1,0,1,0,0.2917,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0.6591,0.2075,0
ID-000025,0,1,1,1,0.6806,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0.4945,0.3892,0
ID-000026,0,1,0,1,0.9861,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,3,0.5957,0.6485,0
ID-000027,0,0,0,0,0.4722,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0.3359,0.2065,1
ID-000028,0,1,1,0,0.0278,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0.857,0.0244,0
ID-000029,1,1,0,1,0.5972,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0.6691,0.4299,0
ID-000030,0,1,1,1,0.375,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,3,0.4548,0.2018,0
ID-000031,1,1,1,0,0.2639,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.2386,0.0936,0
ID-000032,1,0,1,0,0.6667,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,1,1,0.3968,0.326,0
ID-000033,0,0,0,0,0.5972,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,3,0.0127,0.0976,0
ID-000034,1,1,0,1,0.1528,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0.279,0.0595,0
ID-000035,0,1,0,0,0.4861,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0.556,0.3033,0
ID-000036,0,1,0,0,0.4306,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,2,0.3063,0.1775,0
ID-000037,0,1,1,1,0.5556,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0.1196,0.1411,0
ID-000038,0,1,0,0,0.9444,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0.1266,0.2455,1
ID-000039,0,0,1,1,0.1944,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,3,0.8223,0.1652,0
ID-000040,1,1,1,1,0.3889,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,3,0.7759,0.3152,1
ID-000041,0,1,0,1,0.9722,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3,0.0751,0.2103,0
ID-000042,0,0,0,1,0.75,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0.1148,0.1875,0
ID-000043,1,1,0,1,0.8889,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0.5402,0.5427,0
ID-000044,1,1,0,0,0.3194,0,1,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,3,0.9972,0.3188,1
ID-000045,0,1,0,0,0.8056,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,2,0.0881,0.1831,0
ID-000046,0,0,1,1,0.7778,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0.8811,0.6996,1
ID-000047,1,0,1,0,0.5139,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0.5091,0.3002,0
ID-000048,0,1,0,0,0.5278,1,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,3,0.8378,0.4554,0
ID-000049,0,1,1,0,0.7222,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,1,3,0.0436,0.1369,0
ID-000050,0,0,0,0,0.7222,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.8712,0.6436,0
ID-000051,1,1,1,0,0.5,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0.9977,0.4992,0
ID-000052,1,0,0,0,0.4306,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,0,1,0.5314,0.2597,0
ID-000053,0,1,0,1,0.9583,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0.158,0.2747,0
ID-000054,1,1,0,1,0.5139,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,3,0.0219,0.088,0
ID-000055,0,0,1,1,0.2361,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0.6284,0.1618,0
ID-000056,0,0,0,1,0.2917,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0.2571,0.1081,0
ID-000057,0,0,1,1,0.6528,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,2,0.673,0.4721,0
ID-000058,0,0,1,0,0.2361,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0.0453,0.0451,0
ID-000059,1,1,0,1,0.6528,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0.2174,0.2199,0
ID-000060,1,0,0,1,0.5833,1,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0.2437,0.2095,1
ID-000061,1,1,1,0,0.0417,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0.1318,0.011,0
ID-000062,0,1,0,0,0.8889,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0.2216,0.3026,1
ID-000063,0,1,0,1,0.5694,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.6085,0.3806,0
ID-000064,0,0,0,1,0.7639,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3,0.4517,0.4091,0
ID-000065,0,0,1,0,0.1667,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0.7448,0.1307,0
ID-000066,1,1,0,1,0.2639,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.6569,0.1872,0
ID-000067,0,0,0,0,0.0,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,0.1815,0.0,1
