customerID,gender,SeniorCitizen,Partner,Dependent,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID-000001,Male,0,Yes,Yes,14,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card,20.5,287.0,No
ID-000002,Male,0,No,No,28,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,62.92,1761.76,No
ID-000003,Female,0,No,No,58,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,71.62,4153.96,No
ID-000004,Female,1,Yes,No,58,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Mailed check,81.57,4731.06,No
ID-000005,Male,0,No,No,41,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Mailed check,102.29,4193.89,No
ID-000006,Female,1,No,No,33,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,31.96,1054.68,No
ID-000007,Female,0,Yes,No,49,No,Yes,DSL,No,Yes,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,56.16,2751.84,No
ID-000008,Male,0,No,Yes,38,Yes,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,102.17,3882.46,No
ID-000009,Male,0,No,Yes,10,No,No phone service,No,No,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card,91.19,911.9,No
ID-000010,Male,0,Yes,Yes,47,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,61.81,2905.07,No
ID-000011,Male,0,No,No,8,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,One year,Yes,Electronic check,108.54,868.32,No
ID-000012,Female,1,Yes,Yes,12,Yes,No,No,No,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card,83.9,1006.8,No
ID-000013,Male,1,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,45.85,1054.55,No
ID-000014,Female,1,No,No,0,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,116.53,0,No
ID-000015,Male,0,Yes,Yes,6,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,76.42,458.52,No
