row_id,predicted_churn_risk,reason_rank,feature,feature_contribution
3431,0.840921,1,churn_risk_proxy,0.944182
3431,0.840921,2,is_new_customer_0_6m,0.568568
3431,0.840921,3,is_month_to_month,0.408107
1127,0.810916,1,churn_risk_proxy,0.944182
1127,0.810916,2,is_new_customer_0_6m,0.568568
1127,0.810916,3,is_month_to_month,0.408107
1231,0.806772,1,churn_risk_proxy,0.901885
1231,0.806772,2,is_new_customer_0_6m,0.568568
1231,0.806772,3,is_month_to_month,0.408107
3353,0.79483,1,churn_risk_proxy,0.7327
3353,0.79483,2,is_new_customer_0_6m,0.568568
3353,0.79483,3,is_month_to_month,0.408107
642,0.793075,1,churn_risk_proxy,0.626959
642,0.793075,2,is_new_customer_0_6m,0.568568
642,0.793075,3,is_month_to_month,0.408107
343,0.790419,1,churn_risk_proxy,0.944182
343,0.790419,2,is_new_customer_0_6m,0.568568
343,0.790419,3,is_month_to_month,0.408107
4981,0.784663,1,churn_risk_proxy,0.7327
4981,0.784663,2,is_new_customer_0_6m,0.568568
4981,0.784663,3,is_month_to_month,0.408107
5187,0.783848,1,churn_risk_proxy,0.944182
5187,0.783848,2,is_new_customer_0_6m,0.568568
5187,0.783848,3,is_month_to_month,0.408107
1408,0.782956,1,churn_risk_proxy,0.901885
1408,0.782956,2,is_new_customer_0_6m,0.568568
1408,0.782956,3,is_month_to_month,0.408107
3127,0.775411,1,churn_risk_proxy,0.7327
3127,0.775411,2,is_new_customer_0_6m,0.568568
3127,0.775411,3,is_month_to_month,0.408107
2011,0.774075,1,churn_risk_proxy,0.626959
2011,0.774075,2,is_new_customer_0_6m,0.568568
2011,0.774075,3,is_month_to_month,0.408107
3452,0.76791,1,churn_risk_proxy,0.626959
3452,0.76791,2,is_new_customer_0_6m,0.568568
3452,0.76791,3,is_month_to_month,0.408107
5025,0.767701,1,churn_risk_proxy,0.7327
5025,0.767701,2,is_new_customer_0_6m,0.568568
5025,0.767701,3,is_month_to_month,0.408107
422,0.764239,1,churn_risk_proxy,0.944182
422,0.764239,2,is_new_customer_0_6m,0.568568
422,0.764239,3,is_month_to_month,0.408107
5557,0.764144,1,churn_risk_proxy,0.796145
5557,0.764144,2,is_new_customer_0_6m,0.568568
5557,0.764144,3,is_month_to_month,0.408107
2324,0.763627,1,is_new_customer_0_6m,0.568568
2324,0.763627,2,churn_risk_proxy,0.563515
2324,0.763627,3,is_month_to_month,0.408107
4914,0.762035,1,churn_risk_proxy,0.7327
4914,0.762035,2,is_new_customer_0_6m,0.568568
4914,0.762035,3,is_month_to_month,0.408107
4138,0.758759,1,churn_risk_proxy,0.901885
4138,0.758759,2,is_new_customer_0_6m,0.568568
4138,0.758759,3,is_month_to_month,0.408107
2989,0.757871,1,churn_risk_proxy,0.7327
2989,0.757871,2,is_new_customer_0_6m,0.568568
2989,0.757871,3,is_month_to_month,0.408107
353,0.754354,1,churn_risk_proxy,1.113367
353,0.754354,2,is_new_customer_0_6m,0.568568
353,0.754354,3,is_month_to_month,0.408107
2298,0.753188,1,churn_risk_proxy,0.944182
2298,0.753188,2,is_new_customer_0_6m,0.568568
2298,0.753188,3,is_month_to_month,0.408107
2700,0.752981,1,churn_risk_proxy,0.796145
2700,0.752981,2,is_new_customer_0_6m,0.568568
2700,0.752981,3,is_month_to_month,0.408107
3305,0.747527,1,churn_risk_proxy,0.944182
3305,0.747527,2,is_new_customer_0_6m,0.568568
3305,0.747527,3,is_month_to_month,0.408107
5624,0.747066,1,churn_risk_proxy,0.626959
5624,0.747066,2,is_new_customer_0_6m,0.568568
5624,0.747066,3,is_month_to_month,0.408107
2110,0.745677,1,churn_risk_proxy,0.626959
2110,0.745677,2,is_new_customer_0_6m,0.568568
2110,0.745677,3,is_month_to_month,0.408107
4219,0.743917,1,churn_risk_proxy,0.901885
4219,0.743917,2,is_new_customer_0_6m,0.568568
4219,0.743917,3,is_month_to_month,0.408107
1217,0.741242,1,churn_risk_proxy,0.796145
1217,0.741242,2,is_new_customer_0_6m,0.568568
1217,0.741242,3,is_month_to_month,0.408107
4374,0.739579,1,churn_risk_proxy,0.944182
4374,0.739579,2,is_new_customer_0_6m,0.568568
4374,0.739579,3,is_month_to_month,0.408107
1518,0.737805,1,churn_risk_proxy,0.7327
1518,0.737805,2,is_new_customer_0_6m,0.568568
1518,0.737805,3,is_month_to_month,0.408107
4409,0.73346,1,churn_risk_proxy,0.944182
4409,0.73346,2,is_new_customer_0_6m,0.568568
4409,0.73346,3,is_month_to_month,0.408107
6989,0.733349,1,churn_risk_proxy,0.944182
6989,0.733349,2,is_new_customer_0_6m,0.568568
6989,0.733349,3,is_month_to_month,0.408107
1165,0.73271,1,churn_risk_proxy,0.944182
1165,0.73271,2,is_new_customer_0_6m,0.568568
1165,0.73271,3,is_month_to_month,0.408107
6836,0.731504,1,churn_risk_proxy,0.7327
6836,0.731504,2,is_new_customer_0_6m,0.568568
6836,0.731504,3,is_month_to_month,0.408107
6458,0.731441,1,churn_risk_proxy,0.796145
6458,0.731441,2,is_new_customer_0_6m,0.568568
6458,0.731441,3,is_month_to_month,0.408107
2414,0.73056,1,churn_risk_proxy,0.944182
2414,0.73056,2,is_new_customer_0_6m,0.568568
2414,0.73056,3,is_month_to_month,0.408107
5942,0.729308,1,churn_risk_proxy,0.796145
5942,0.729308,2,is_new_customer_0_6m,0.568568
5942,0.729308,3,is_month_to_month,0.408107
215,0.723985,1,churn_risk_proxy,0.626959
215,0.723985,2,is_new_customer_0_6m,0.568568
215,0.723985,3,is_month_to_month,0.408107
2952,0.72365,1,is_new_customer_0_6m,0.568568
2952,0.72365,2,churn_risk_proxy,0.563515
2952,0.72365,3,is_month_to_month,0.408107
2747,0.721337,1,churn_risk_proxy,0.7327
2747,0.721337,2,is_new_customer_0_6m,0.568568
2747,0.721337,3,is_month_to_month,0.408107
4357,0.718959,1,churn_risk_proxy,0.796145
4357,0.718959,2,is_new_customer_0_6m,0.568568
4357,0.718959,3,is_month_to_month,0.408107
